,Retailer country,Product,correlation,slope
0,Australia,Aloe Relief,,
4,Australia,Astro Pilot,-0.5465680574994874,
8,Australia,Auto Pilot,,
12,Australia,Bear Edge,,
16,Australia,Bear Survival Edge,,
20,Australia,Bella,0.7144867734398416,
24,Australia,Blue Steel Max Putter,,
28,Australia,Blue Steel Putter,,
32,Australia,BugShield Extreme,,
36,Australia,BugShield Lotion,,
40,Australia,BugShield Lotion Lite,,
44,Australia,BugShield Natural,,
48,Australia,BugShield Spray,0.02339995656518653,
52,Australia,Calamine Relief,,
56,Australia,Canyon Mule Carryall,,
60,Australia,Canyon Mule Climber Backpack,,
64,Australia,Canyon Mule Cooler,-0.9434410615191369,
68,Australia,Canyon Mule Extreme Backpack,,
72,Australia,Canyon Mule Journey Backpack,-0.776310138503025,
76,Australia,Canyon Mule Weekender Backpack,,
80,Australia,Capri,,
84,Australia,Cat Eye,-0.8891595692686564,
88,Australia,Compact Relief Kit,,
92,Australia,Course Pro Gloves,,
96,Australia,Course Pro Golf Bag,-0.541180738282403,
100,Australia,Course Pro Golf and Tee Set,,
104,Australia,Course Pro Putter,-0.9903947009876987,
108,Australia,Course Pro Umbrella,,
112,Australia,Dante,0.4809344926159492,
116,Australia,Deluxe Family Relief Kit,,
120,Australia,Double Edge,,
124,Australia,Edge Extreme,,
128,Australia,EverGlow Butane,,
132,Australia,EverGlow Double,,
136,Australia,EverGlow Kerosene,,
140,Australia,EverGlow Lamp,,
144,Australia,EverGlow Single,0.7717711427230507,
148,Australia,Fairway,-0.5152656863923016,
152,Australia,Firefly 2,,
156,Australia,Firefly 4,,
160,Australia,Firefly Charger,,
164,Australia,Firefly Climbing Lamp,,
168,Australia,Firefly Extreme,0.8891254303701234,
172,Australia,Firefly Lite,-0.7885964290882234,
176,Australia,Firefly Mapreader,,
180,Australia,Firefly Multi-light,,
184,Australia,Firefly Rechargeable Battery,,
188,Australia,Flicker Lantern,,
192,Australia,Glacier Basic,,
196,Australia,Glacier Deluxe,,
200,Australia,Glacier GPS,0.05283597197177438,
204,Australia,Glacier GPS Extreme,0.0,
208,Australia,Granite Axe,,
212,Australia,Granite Belay,,
216,Australia,Granite Carabiner,,
220,Australia,Granite Chalk Bag,,
224,Australia,Granite Climbing Helmet,,
228,Australia,Granite Extreme,,
232,Australia,Granite Grip,,
236,Australia,Granite Hammer,,
240,Australia,Granite Ice,,
244,Australia,Granite Pulley,,
248,Australia,Granite Shovel,,
252,Australia,Granite Signal Mirror,,
256,Australia,Hailstorm Steel Irons,,
260,Australia,Hailstorm Steel Woods Set,,
264,Australia,Hailstorm Titanium Irons,-0.5261988866234922,
268,Australia,Hailstorm Titanium Woods Set,,
272,Australia,Hawk Eye,0.27800144589931564,
276,Australia,Hibernator,,
280,Australia,Hibernator Camp Cot,,
284,Australia,Hibernator Extreme,,
288,Australia,Hibernator Lite,-2.5580705226114475e-16,
292,Australia,Hibernator Pad,0.02377340496128936,
296,Australia,Hibernator Pillow,,
300,Australia,Hibernator Self - Inflating Mat,,
304,Australia,Husky Harness,,
308,Australia,Husky Harness Extreme,,
312,Australia,Husky Rope 100,,
316,Australia,Husky Rope 200,,
320,Australia,Husky Rope 50,,
324,Australia,Husky Rope 60,,
328,Australia,Inferno,0.9826096398239493,
332,Australia,Infinity,0.5501386107551604,
336,Australia,Insect Bite Relief,,
340,Australia,Kodiak,-0.9058399709536145,
344,Australia,Lady Hailstorm Steel Irons,,
348,Australia,Lady Hailstorm Steel Woods Set,,
352,Australia,Lady Hailstorm Titanium Irons,,
356,Australia,Lady Hailstorm Titanium Woods Set,,
360,Australia,Legend,-0.14590090395102062,
364,Australia,Lux,0.15284839759659957,
368,Australia,Max Gizmo,-0.25190133002127113,
372,Australia,Maximus,0.15538023303144227,
376,Australia,Mountain Man Analog,,
380,Australia,Mountain Man Combination,,
384,Australia,Mountain Man Deluxe,,
388,Australia,Mountain Man Digital,,
392,Australia,Mountain Man Extreme,,
396,Australia,Opera Vision,,
400,Australia,Pocket Gizmo,-0.18730955568246765,
404,Australia,Polar Extreme,,
408,Australia,Polar Ice,-0.9902314191195375,
412,Australia,Polar Sports,,
416,Australia,Polar Sun,,
420,Australia,Polar Wave,,
424,Australia,Ranger Vision,-0.7061382969206742,
428,Australia,Retro,,
432,Australia,Sam,0.9908517442649125,
436,Australia,Seeker 35,,
440,Australia,Seeker 50,,
444,Australia,Seeker Extreme,,
448,Australia,Seeker Mini,,
452,Australia,Single Edge,,
456,Australia,Sky Pilot,,
460,Australia,Star Dome,,
