Year,Order method type,Revenue,Planned revenue,Product cost,Quantity,Unit cost,Unit price,Gross profit,Unit sale price,Gross profit yoy%
2004,E-mail,95402796.20999996,102525738.23999998,56515125.77999999,1986395.0,74649.95769109002,138492.49458436,38887670.43000004,128979.95852000998,
2004,Fax,28639472.139999993,30463907.339999992,16906210.029999975,688786.0,63012.33480356007,115273.24796475019,11733262.110000001,108331.21582135993,
2004,Mail,22766850.51000001,24817338.949999988,13396889.970000008,488735.0,45372.16733332996,84898.64000000022,9369960.540000005,78432.75890876997,
2004,Sales visit,101072721.1,109513556.89999995,62345893.26000005,2640065.0,85046.02505413009,156378.04999999973,38726827.84000003,145231.97151130985,
2004,Special,13905918.749999993,14973478.429999994,8259617.190000001,340021.0,27638.152245149995,50580.703929170006,5646301.560000002,47349.185762490015,
2004,Telephone,178793580.36000028,192733095.42999998,106888104.12,3979898.0,122868.64671759978,226135.9251061288,71905476.24000013,211975.07317855995,
2004,Web,473771464.64999974,493448022.2299992,282423054.8000002,10050830.0,186709.9191855898,342924.5960981505,191348409.84999982,321445.1625718802,
2005,E-mail,44318886.43000001,47046709.68999998,26287732.400000006,968453.0,49354.794274679974,89546.31887521019,18031154.030000016,84303.43332765989,-0.5363272258116594
2005,Fax,19896187.759999998,21048525.419999994,11692569.2,426006.0,33841.514684279944,60094.12680841003,8203618.559999993,57074.51854754,-0.300823719517164
2005,Mail,16013779.489999996,17146516.929999992,9699408.870000005,339635.0,38098.935333329944,68452.14000000013,6314370.620000001,64195.12300004002,-0.3261048866700993
2005,Sales visit,79721524.3700001,85016765.88999997,48381150.419999905,1778941.0,102578.21530554045,183189.92999999932,31340373.94999998,172028.4487765101,-0.1907322210979221
2005,Special,10769180.340000002,11506938.310000002,6464639.160000001,252429.0,28199.69633333001,50680.83833333,4304541.180000004,47802.73161911001,-0.23763526721728934
2005,Telephone,107160284.08999994,114892133.41000006,63362003.53999999,2251898.0,104961.93918918031,191803.62682353955,43798280.55000002,180474.1846139305,-0.3908908912053687
2005,Web,881315747.6799986,921519876.8700016,524624394.9199991,17507323.0,248300.42916597024,448005.6195513296,356691352.7599994,425045.2195531981,0.8640936344316308
2006,E-mail,23701042.569999997,24957112.80999999,13834831.709999984,409049.0,36101.81757773999,67956.45169980006,9866210.860000009,64570.66565224998,-0.4528242150455414
2006,Fax,13445559.929999994,14195619.370000007,7827732.610000001,249234.0,28222.656000000014,52802.63999999999,5617827.319999997,50335.590833620015,-0.31520130063190055
2006,Mail,6905730.440000004,7297697.229999998,3920084.1100000027,119619.0,21800.699999999993,42260.46,2985646.3299999987,40180.98518608999,-0.5271664414908863
2006,Sales visit,73918652.38,78167866.73999998,43511207.94000003,1411468.0,99807.12416671029,185608.2199999994,30407444.439999975,175749.7173905698,-0.029767657255410862
2006,Special,1006100.01,1055320.08,644641.55,13622.0,2230.7,3814.61,361458.46,3637.79,-0.9160285742695579
2006,Telephone,37199842.799999975,39285561.03999999,22197428.26999999,684667.0,62648.36307939001,115340.68250795019,15002414.53000002,109868.04184555009,-0.6574656735011938
2006,Web,1339714172.7699993,1395779702.5700002,780694602.2399999,23054131.0,244537.42484268016,453435.2911659488,559019570.5300001,432684.5402037482,0.5672361166157502
2007,E-mail,16420318.950000005,17392002.71000001,9448237.729999997,278762.0,29292.999294740017,54759.93972326997,6972081.219999999,51880.23905624001,-0.2933375012015512
2007,Fax,8092322.179999999,8592950.31,4598711.6899999995,115988.0,18719.204999999998,36539.460000000014,3493610.4899999993,34497.718333330035,-0.37812070556842936
2007,Mail,404978.52999999997,422064.95000000007,214309.58,5066.0,647.77,1324.42,190668.94999999998,1270.7066666699998,-0.9361381326099666
2007,Sales visit,55481936.14999997,59367567.20000001,32998939.94,982938.0,71666.56798412024,133189.96000000022,22482996.21000001,124478.8569927301,-0.26060882050237744
2007,Special,1670121.1500000001,1766614.8800000001,1043585.11,30730.0,2635.89,4477.99,626536.0399999998,4254.929999999999,0.7333555839307226
2007,Telephone,17832073.810000006,18851481.199999996,10884798.260000007,336381.0,32247.75619047,57716.34500000002,6947275.549999994,54596.25319050011,-0.5369228375800662
2007,Web,1017434523.3,1065558196.81,592874869.7699999,17846021.0,239153.28368119022,444018.69339693926,424559653.5299996,422234.6912423287,-0.24052810328719
