,Year,Product,Order method type,Retailer country,Revenue,Quantity,Gross profit
0,2004,TrailChef Water Bag,Telephone,United States,315044.33,66385.0,156672.57
1,2004,TrailChef Water Bag,Telephone,Canada,13444.68,2172.0,7145.88
4,2004,TrailChef Water Bag,Telephone,Japan,181120.24,35696.0,91707.18
6,2004,TrailChef Water Bag,Telephone,China,69608.15,15205.0,34281.9
7,2004,TrailChef Water Bag,Telephone,Singapore,30940.35,7833.0,14569.38
9,2004,TrailChef Water Bag,Telephone,Netherlands,74321.18,14328.0,37789.55
10,2004,TrailChef Water Bag,Telephone,Sweden,18474.15,4677.0,8699.22
11,2004,TrailChef Water Bag,Telephone,Finland,80890.34,17790.0,39869.03
12,2004,TrailChef Water Bag,Telephone,Denmark,31746.7,5057.0,17081.4
13,2004,TrailChef Water Bag,Telephone,France,103244.26,20958.0,52043.5
15,2004,TrailChef Water Bag,Telephone,United Kingdom,160227.13,33535.0,79920.02
18,2004,TrailChef Water Bag,Telephone,Austria,67179.39,12959.0,34689.14
21,2004,TrailChef Water Bag,Sales visit,United States,181287.73,33799.0,92939.6
23,2004,TrailChef Water Bag,Sales visit,Mexico,133617.26,25788.0,68402.21
26,2004,TrailChef Water Bag,Sales visit,Korea,186696.56,36190.0,94805.19
28,2004,TrailChef Water Bag,Sales visit,Singapore,118193.46,24532.0,59010.31
32,2004,TrailChef Water Bag,Sales visit,Finland,72891.83,11891.0,38407.93
33,2004,TrailChef Water Bag,Sales visit,Denmark,12469.92,1992.0,6693.12
34,2004,TrailChef Water Bag,Sales visit,France,96009.15,17404.0,49702.57
35,2004,TrailChef Water Bag,Sales visit,Germany,137602.28,25750.0,70754.31
36,2004,TrailChef Water Bag,Sales visit,United Kingdom,11637.34,1859.0,6246.24
37,2004,TrailChef Water Bag,Sales visit,Belgium,12843.9,2010.0,7014.9
40,2004,TrailChef Water Bag,Sales visit,Italy,103089.33,20010.0,52562.55
41,2004,TrailChef Water Bag,Sales visit,Spain,13036.14,2106.0,6928.74
42,2004,TrailChef Water Bag,Web,United States,340867.26,61779.0,176276.82
43,2004,TrailChef Water Bag,Web,Canada,138986.22,26047.0,71425.99
44,2004,TrailChef Water Bag,Web,Mexico,20358.3,5154.0,9586.44
45,2004,TrailChef Water Bag,Web,Brazil,120190.31,23738.0,61209.43
46,2004,TrailChef Water Bag,Web,Japan,64370.58,12422.0,32874.68
47,2004,TrailChef Water Bag,Web,Korea,74254.93,14899.0,37392.56
48,2004,TrailChef Water Bag,Web,China,278106.13,52875.0,141866.92
49,2004,TrailChef Water Bag,Web,Singapore,17421.46,2842.0,9179.66
51,2004,TrailChef Water Bag,Web,Netherlands,96692.34,17590.0,49916.02
52,2004,TrailChef Water Bag,Web,Sweden,49298.46,9594.0,25248.84
53,2004,TrailChef Water Bag,Web,Finland,78856.6,15256.0,40062.26
54,2004,TrailChef Water Bag,Web,Denmark,30853.1,6691.0,15317.76
55,2004,TrailChef Water Bag,Web,France,91818.01,18391.0,46545.23
56,2004,TrailChef Water Bag,Web,Germany,70482.18,11294.0,37729.58
57,2004,TrailChef Water Bag,Web,United Kingdom,168290.41,30265.0,87678.26
58,2004,TrailChef Water Bag,Web,Belgium,42871.8,8636.0,21914.66
60,2004,TrailChef Water Bag,Web,Austria,36562.75,6832.0,18987.98
61,2004,TrailChef Water Bag,Web,Italy,12875.2,2080.0,6843.2
62,2004,TrailChef Water Bag,Web,Spain,108368.09,19305.0,56499.2
64,2004,TrailChef Water Bag,Special,Canada,38011.56,6121.0,20260.66
65,2004,TrailChef Water Bag,Special,Mexico,26152.75,4225.0,13900.25
67,2004,TrailChef Water Bag,Special,Japan,13234.22,2138.0,7034.02
69,2004,TrailChef Water Bag,Special,China,28198.0,4600.0,14858.0
79,2004,TrailChef Water Bag,Special,Belgium,5489.01,859.0,2997.91
84,2004,TrailChef Water Bag,Mail,United States,48205.04,10414.0,23812.95
88,2004,TrailChef Water Bag,Mail,Japan,13884.17,2243.0,7379.47
89,2004,TrailChef Water Bag,Mail,Korea,20909.43,3411.0,11017.53
93,2004,TrailChef Water Bag,Mail,Netherlands,18592.65,4707.0,8755.02
97,2004,TrailChef Water Bag,Mail,France,42909.66,8608.0,21740.5
104,2004,TrailChef Water Bag,Mail,Spain,14010.65,3547.0,6597.42
106,2004,TrailChef Water Bag,E-mail,Canada,147265.42,25610.0,77255.4
109,2004,TrailChef Water Bag,E-mail,Japan,72181.72,13888.0,36768.95
114,2004,TrailChef Water Bag,E-mail,Netherlands,15846.05,2585.0,8349.55
115,2004,TrailChef Water Bag,E-mail,Sweden,12807.11,2069.0,6807.01
119,2004,TrailChef Water Bag,E-mail,Germany,131629.64,28610.0,65054.23
124,2004,TrailChef Water Bag,E-mail,Italy,57185.2,11145.0,29225.74
125,2004,TrailChef Water Bag,E-mail,Spain,27749.54,6055.0,13750.8
126,2004,TrailChef Water Bag,Fax,United States,46745.73,7589.0,24737.63
129,2004,TrailChef Water Bag,Fax,Brazil,34051.1,5463.0,18208.4
130,2004,TrailChef Water Bag,Fax,Japan,60048.26,11588.0,30764.41
133,2004,TrailChef Water Bag,Fax,Singapore,97534.43,15911.0,51392.53
139,2004,TrailChef Water Bag,Fax,France,39388.15,6349.0,20976.05
140,2004,TrailChef Water Bag,Fax,Germany,13525.15,2185.0,7188.65
147,2004,TrailChef Canteen,Telephone,United States,209592.06,18774.0,85308.18
